ticker,interval_minutes,aligned_bar_utc,article_count,weighted_article_count,finbert_pos,finbert_neg,finbert_neu,finbert_sentiment,finbert_strength,finbert_confidence,finbert_entropy
AAPL,5,2017-12-07T20:00:00+00:00,1,1.0,0.3642139434814453,0.011420108377933502,0.6243658661842346,0.3527938351035118,0.3527938351035118,0.6243658661842346,0.6490226087736366
AAPL,5,2017-12-11T13:30:00+00:00,1,0.06982204029237378,0.23834557831287384,0.01516069006174803,0.7464936971664429,0.2231848882511258,0.2231848882511258,0.7464936971664429,0.5675845909221807
AAPL,5,2017-12-13T13:30:00+00:00,1,0.5278786301239431,0.8075961470603943,0.007315569557249546,0.18508829176425934,0.8002805775031447,0.8002805775031447,0.8075961470603943,0.474037561221574
AAPL,5,2017-12-14T13:30:00+00:00,2,1.887599278566936,0.05911510276817688,0.03345400571985931,0.9074308676461424,0.025661097048317563,0.025661097048317563,0.9074308676461424,0.33146914290005075
AAPL,5,2017-12-15T13:30:00+00:00,1,0.6332155177254671,0.28802821040153503,0.008267696015536785,0.7037040591239929,0.27976051438599825,0.27976051438599825,0.7037040591239929,0.587499777275743
AAPL,5,2017-12-18T20:05:00+00:00,1,1.0,0.06878069043159485,0.015262461267411709,0.9159569144248962,0.05351822916418314,0.05351822916418314,0.9159569144248962,0.2988821574394142
AAPL,5,2017-12-21T13:30:00+00:00,2,1.5873380820664247,0.33844349207421165,0.047281618385085614,0.6142748808544896,0.29116187368912605,0.29116187368912605,0.6142748808544896,0.6934817735114436
AAPL,5,2017-12-22T13:30:00+00:00,1,0.569782824730923,0.06194135919213295,0.5157449841499329,0.4223136603832245,-0.4538036249577999,0.4538036249577999,0.5157449841499329,0.799033684029286
AAPL,5,2017-12-26T13:30:00+00:00,2,0.5947652339420597,0.018388750834312,0.9296572443848904,0.05195397475883237,-0.9112684935505783,0.9170948656419337,0.966240304469242,0.1524385251022389
AAPL,5,2017-12-26T13:50:00+00:00,1,0.9986120751709083,0.015432413667440414,0.9729185700416565,0.011649069376289845,-0.9574861563742161,0.9574861563742161,0.9729185700416565,0.1301206908055954
AAPL,5,2017-12-27T13:30:00+00:00,3,1.7675262969091867,0.10251560022324735,0.8491022096158175,0.04838220197517445,-0.74658660939257,0.74658660939257,0.8491022096158175,0.43922453277920476
AAPL,5,2017-12-27T13:35:00+00:00,1,1.0,0.02888565883040428,0.9605960845947266,0.010518227703869343,-0.9317104257643223,0.9317104257643223,0.9605960845947266,0.17195019452784008
AAPL,5,2017-12-28T13:30:00+00:00,9,5.571181611119492,0.6392424688672133,0.16517821263918545,0.19557930794780073,0.47406425622802784,0.5161560585999403,0.7951114173651525,0.5031000034555025
AAPL,5,2017-12-29T13:30:00+00:00,6,3.4186969483855383,0.38533123365292943,0.4888308625668286,0.12583788918952146,-0.10349962891389926,0.4646388258164127,0.7303748031457267,0.5506272671939272
AAPL,5,2017-12-29T13:40:00+00:00,1,1.0,0.6385561227798462,0.31432268023490906,0.047121234238147736,0.32423344254493713,0.32423344254493713,0.6385561227798462,0.7228711795034037
AAPL,5,2018-01-02T13:30:00+00:00,169,84.33829665137738,0.4197855649071994,0.1978746278899642,0.3823398120693362,0.22191093701723547,0.5253201875793441,0.7916587456806875,0.47752710984666447
AAPL,5,2018-01-02T13:35:00+00:00,1,0.9979188352992993,0.6601148843765259,0.01585700362920761,0.3240280747413635,0.6442578807473183,0.6442578807473183,0.6601148843765259,0.6417569915965881
AAPL,5,2018-01-02T13:45:00+00:00,1,0.9993057966262922,0.5021995902061462,0.014882960356771946,0.4829173982143402,0.4873166298493743,0.4873166298493743,0.5021995902061462,0.6918133729382452
AAPL,5,2018-01-02T13:55:00+00:00,2,1.9972260766771477,0.3639650896349906,0.5726411017416534,0.06339383746201824,-0.20867601210666292,0.7224474337386826,0.8295268125576634,0.4641411196627562
AAPL,5,2018-01-02T14:00:00+00:00,2,1.9965318733034398,0.09253601045803149,0.052656864460047276,0.8548071064981554,0.03987914599798423,0.05952123809114618,0.8548071064981554,0.4509275304872266
AAPL,5,2018-01-02T14:15:00+00:00,3,2.9958376705985987,0.18580603482802607,0.6440934386533612,0.1701004998275999,-0.45828740382533517,0.7808910411291953,0.8053952573052913,0.35571216167129405
AAPL,5,2018-01-02T14:30:00+00:00,2,2.0,0.4294356917962432,0.5072752814739943,0.06328905746340752,-0.07783958967775106,0.883882979862392,0.9102969765663147,0.30069974051083126
AAPL,5,2018-01-02T14:35:00+00:00,5,4.990289823284028,0.1722453424934338,0.11847475831055615,0.7092799111101078,0.05377058418287761,0.2367744552862327,0.8007093424429151,0.43406610296700443
