ticker,interval_minutes,date,time,timestamp_utc,open,high,low,close,volume,price_range,return_pct,sma_5,sma_10,sma_20,ema_10,volatility_10,rsi_14,target_up_next_bar,split
AAPL,15,2016-12-22,16:00:00,2016-12-22T16:00:00+00:00,116.219000,116.339000,116.069000,116.119000,1709,0.270000,,,,,116.119000,,,0,train
AAPL,15,2016-12-22,16:15:00,2016-12-22T16:15:00+00:00,116.139000,116.189000,115.949000,115.949000,1614,0.240000,-0.146402,,,,116.088091,,,0,train
AAPL,15,2016-12-22,16:30:00,2016-12-22T16:30:00+00:00,115.989000,116.049000,115.799000,115.819000,1745,0.250000,-0.112118,,,,116.039165,0.024242,,0,train
AAPL,15,2016-12-22,16:45:00,2016-12-22T16:45:00+00:00,115.849000,115.849000,115.609000,115.739000,1963,0.240000,-0.069073,,,,115.984590,0.038747,,1,train
AAPL,15,2016-12-22,17:00:00,2016-12-22T17:00:00+00:00,115.739000,115.859000,115.689000,115.779000,1564,0.170000,0.034561,115.881000,,,115.947210,0.078533,,1,train
AAPL,15,2016-12-22,17:15:00,2016-12-22T17:15:00+00:00,115.799000,115.929000,115.729000,115.929000,1506,0.200000,0.129557,115.843000,,,115.943899,0.113369,,0,train
AAPL,15,2016-12-22,17:30:00,2016-12-22T17:30:00+00:00,115.899000,115.979000,115.799000,115.829000,1536,0.180000,-0.086260,115.819000,,,115.923008,0.103731,,0,train
AAPL,15,2016-12-22,17:45:00,2016-12-22T17:45:00+00:00,115.849000,115.909000,115.769000,115.799000,1322,0.140000,-0.025900,115.815000,,,115.900461,0.094879,,1,train
AAPL,15,2016-12-22,18:00:00,2016-12-22T18:00:00+00:00,115.799000,115.969000,115.759000,115.929000,1273,0.210000,0.112263,115.853000,,,115.905650,0.102910,,1,train
AAPL,15,2016-12-22,18:15:00,2016-12-22T18:15:00+00:00,115.959000,115.989000,115.899000,115.969000,1373,0.090000,0.034504,115.891000,115.886000,,115.917168,0.097989,,1,train
AAPL,15,2016-12-22,18:30:00,2016-12-22T18:30:00+00:00,115.969000,116.069000,115.869000,116.069000,1594,0.200000,0.086230,115.919000,115.881000,,115.944774,0.097703,,1,train
AAPL,15,2016-12-22,18:45:00,2016-12-22T18:45:00+00:00,116.069000,116.219000,116.039000,116.129000,1231,0.180000,0.051693,115.979000,115.899000,,115.978270,0.084930,,1,train
AAPL,15,2016-12-22,19:00:00,2016-12-22T19:00:00+00:00,116.129000,116.199000,116.099000,116.179000,1368,0.100000,0.043056,116.055000,115.935000,,116.014766,0.072241,,0,train
AAPL,15,2016-12-22,19:15:00,2016-12-22T19:15:00+00:00,116.159000,116.219000,116.049000,116.089000,1339,0.170000,-0.077467,116.087000,115.970000,,116.028263,0.073570,,0,train
AAPL,15,2016-12-22,19:30:00,2016-12-22T19:30:00+00:00,116.119000,116.119000,115.889000,115.969000,1367,0.230000,-0.103369,116.087000,115.989000,,116.017488,0.084747,44.186047,1,train
AAPL,15,2016-12-22,19:45:00,2016-12-22T19:45:00+00:00,115.949000,116.079000,115.929000,115.989000,1250,0.150000,0.017246,116.071000,115.995000,,116.012308,0.074967,51.754386,0,train
AAPL,15,2016-12-22,20:00:00,2016-12-22T20:00:00+00:00,116.009000,116.009000,115.639000,115.779000,1835,0.370000,-0.181052,116.001000,115.990000,,115.969889,0.091897,48.360656,1,train
AAPL,15,2016-12-22,20:15:00,2016-12-22T20:15:00+00:00,115.769000,115.869000,115.699000,115.809000,2107,0.170000,0.025911,115.927000,115.991000,,115.940636,0.092004,52.991453,1,train
