ticker,interval_minutes,date,time,timestamp_utc,open,high,low,close,volume,price_range,return_pct,sma_5,sma_10,sma_20,ema_10,volatility_10,rsi_14,target_up_next_bar,split
AAPL,5,2017-07-12,19:45:00,2017-07-12T19:45:00+00:00,145.980000,146.040000,145.830000,145.830000,808,0.210000,,,,,145.830000,,,0,train
AAPL,5,2017-07-12,19:50:00,2017-07-12T19:50:00+00:00,145.860000,145.940000,145.720000,145.820000,802,0.220000,-0.006857,,,,145.828182,,,0,train
AAPL,5,2017-07-12,19:55:00,2017-07-12T19:55:00+00:00,145.820000,145.890000,145.660000,145.770000,897,0.230000,-0.034289,,,,145.817603,0.019397,,0,train
AAPL,5,2017-07-12,20:00:00,2017-07-12T20:00:00+00:00,145.740000,145.740000,145.620000,145.620000,42,0.120000,-0.102902,,,,145.781675,0.049472,,1,train
AAPL,5,2017-07-12,20:05:00,2017-07-12T20:05:00+00:00,145.660000,145.660000,145.660000,145.660000,5,0.000000,0.027469,145.740000,,,145.759553,0.055282,,0,train
AAPL,5,2017-07-12,20:10:00,2017-07-12T20:10:00+00:00,145.660000,145.660000,145.550000,145.550000,9,0.110000,-0.075518,145.684000,,,145.721452,0.052175,,0,train
AAPL,5,2017-07-12,20:15:00,2017-07-12T20:15:00+00:00,145.500000,145.510000,145.470000,145.490000,14,0.040000,-0.041223,145.618000,,,145.679370,0.046680,,0,train
AAPL,5,2017-07-12,20:20:00,2017-07-12T20:20:00+00:00,145.620000,145.630000,145.480000,145.480000,18,0.150000,-0.006873,145.560000,,,145.643121,0.044298,,1,train
AAPL,5,2017-07-12,20:25:00,2017-07-12T20:25:00+00:00,145.510000,145.510000,145.480000,145.510000,8,0.030000,0.020621,145.538000,,,145.618917,0.045378,,1,train
AAPL,5,2017-07-12,20:30:00,2017-07-12T20:30:00+00:00,145.500000,145.530000,145.500000,145.530000,8,0.030000,0.013745,145.512000,145.626000,,145.602750,0.044613,,0,train
AAPL,5,2017-07-12,20:35:00,2017-07-12T20:35:00+00:00,145.530000,145.530000,145.500000,145.500000,6,0.030000,-0.020614,145.502000,145.593000,,145.584068,0.042068,,0,train
AAPL,5,2017-07-12,20:40:00,2017-07-12T20:40:00+00:00,145.510000,145.510000,145.140000,145.400000,16,0.370000,-0.068729,145.484000,145.551000,,145.550601,0.043994,,1,train
AAPL,5,2017-07-12,20:45:00,2017-07-12T20:45:00+00:00,145.390000,145.410000,145.380000,145.410000,13,0.030000,0.006878,145.470000,145.515000,,145.525038,0.045332,,0,train
AAPL,5,2017-07-12,20:50:00,2017-07-12T20:50:00+00:00,145.380000,145.410000,145.380000,145.410000,2,0.030000,0.000000,145.450000,145.494000,,145.504122,0.036413,,0,train
AAPL,5,2017-07-12,20:55:00,2017-07-12T20:55:00+00:00,145.400000,145.400000,145.380000,145.380000,2,0.020000,-0.020631,145.420000,145.466000,,145.481554,0.033309,15.384615,1,train
AAPL,5,2017-07-13,12:30:00,2017-07-13T12:30:00+00:00,145.400000,145.740000,145.380000,145.740000,14,0.360000,0.247627,145.468000,145.485000,,145.528544,0.086661,46.000000,0,train
AAPL,5,2017-07-13,12:35:00,2017-07-13T12:35:00+00:00,145.730000,145.730000,145.720000,145.720000,2,0.010000,-0.013723,145.532000,145.508000,,145.563354,0.085169,47.422680,0,train
AAPL,5,2017-07-13,12:40:00,2017-07-13T12:40:00+00:00,145.720000,145.720000,145.670000,145.670000,2,0.050000,-0.034312,145.584000,145.527000,,145.582744,0.086415,52.873563,0,train
AAPL,5,2017-07-13,12:45:00,2017-07-13T12:45:00+00:00,145.670000,145.670000,145.550000,145.620000,7,0.120000,-0.034324,145.626000,145.538000,,145.589518,0.087621,47.727273,0,train
AAPL,5,2017-07-13,12:50:00,2017-07-13T12:50:00+00:00,145.520000,145.580000,145.520000,145.580000,2,0.060000,-0.027469,145.666000,145.543000,145.584500,145.587788,0.088266,51.851852,1,train
AAPL,5,2017-07-13,12:55:00,2017-07-13T12:55:00+00:00,145.610000,145.610000,145.610000,145.610000,1,0.000000,0.020607,145.640000,145.554000,145.573500,145.591826,0.087979,57.692308,0,train
AAPL,5,2017-07-13,13:00:00,2017-07-13T13:00:00+00:00,145.600000,145.610000,145.580000,145.580000,3,0.030000,-0.020603,145.612000,145.572000,145.561500,145.589676,0.084591,56.250000,1,train
AAPL,5,2017-07-13,13:05:00,2017-07-13T13:05:00+00:00,145.610000,145.620000,145.520000,145.610000,10,0.100000,0.020607,145.600000,145.592000,145.553500,145.593371,0.084603,56.250000,0,train
AAPL,5,2017-07-13,13:10:00,2017-07-13T13:10:00+00:00,145.610000,145.640000,145.480000,145.490000,18,0.160000,-0.082412,145.574000,145.600000,145.547000,145.574577,0.089940,47.777778,1,train
AAPL,5,2017-07-13,13:15:00,2017-07-13T13:15:00+00:00,145.520000,145.540000,145.520000,145.540000,5,0.020000,0.034367,145.566000,145.616000,145.541000,145.568290,0.089843,52.173913,0,train
AAPL,5,2017-07-13,13:20:00,2017-07-13T13:20:00+00:00,145.530000,145.560000,145.430000,145.430000,17,0.130000,-0.075581,145.530000,145.585000,145.535000,145.543146,0.039054,51.612903,1,train
AAPL,5,2017-07-13,13:25:00,2017-07-13T13:25:00+00:00,145.420000,145.510000,145.400000,145.490000,31,0.110000,0.041257,145.512000,145.562000,145.535000,145.533483,0.043817,54.081633,1,train
AAPL,5,2017-07-13,13:30:00,2017-07-13T13:30:00+00:00,145.400000,146.210000,145.400000,146.130000,719,0.810000,0.439893,145.616000,145.608000,145.567500,145.641941,0.149849,72.222222,1,train
AAPL,5,2017-07-13,13:35:00,2017-07-13T13:35:00+00:00,146.090000,146.440000,146.090000,146.330000,757,0.350000,0.136864,145.784000,145.679000,145.608500,145.767043,0.151248,76.536313,1,train
AAPL,5,2017-07-13,13:40:00,2017-07-13T13:40:00+00:00,146.330000,146.410000,146.190000,146.350000,753,0.220000,0.013668,145.946000,145.756000,145.649500,145.873035,0.149494,71.034483,1,train
AAPL,5,2017-07-13,13:45:00,2017-07-13T13:45:00+00:00,146.330000,146.630000,146.330000,146.570000,811,0.300000,0.150325,146.174000,145.852000,145.703000,145.999756,0.151991,75.757576,1,train
AAPL,5,2017-07-13,13:50:00,2017-07-13T13:50:00+00:00,146.550000,146.850000,146.530000,146.840000,771,0.320000,0.184212,146.444000,145.978000,145.775000,146.152527,0.152846,81.283422,1,train
AAPL,5,2017-07-13,13:55:00,2017-07-13T13:55:00+00:00,146.840000,147.110000,146.800000,147.010000,774,0.310000,0.115772,146.620000,146.118000,145.855000,146.308432,0.151254,84.924623,1,train
AAPL,5,2017-07-13,14:00:00,2017-07-13T14:00:00+00:00,147.000000,147.330000,147.000000,147.160000,826,0.330000,0.102034,146.786000,146.285000,145.942500,146.463262,0.137745,87.619048,1,train
AAPL,5,2017-07-13,14:05:00,2017-07-13T14:05:00+00:00,147.150000,147.320000,147.050000,147.190000,776,0.270000,0.020386,146.954000,146.450000,146.033000,146.595396,0.138714,87.619048,0,train
AAPL,5,2017-07-13,14:10:00,2017-07-13T14:10:00+00:00,147.210000,147.380000,147.070000,147.130000,796,0.310000,-0.040764,147.066000,146.620000,146.102500,146.692597,0.133808,86.384977,0,train
AAPL,5,2017-07-13,14:15:00,2017-07-13T14:15:00+00:00,147.110000,147.140000,146.790000,146.850000,811,0.350000,-0.190308,147.068000,146.756000,146.159000,146.721216,0.164718,76.050420,1,train
AAPL,5,2017-07-13,14:20:00,2017-07-13T14:20:00+00:00,146.840000,146.990000,146.780000,146.900000,809,0.210000,0.034048,147.046000,146.833000,146.220500,146.753722,0.111068,80.519481,0,train
AAPL,5,2017-07-13,14:25:00,2017-07-13T14:25:00+00:00,146.870000,146.950000,146.610000,146.690000,792,0.340000,-0.142954,146.952000,146.869000,146.274000,146.742136,0.122179,73.279352,1,train
AAPL,5,2017-07-13,14:30:00,2017-07-13T14:30:00+00:00,146.680000,146.870000,146.530000,146.830000,795,0.340000,0.095439,146.880000,146.917000,146.336500,146.758111,0.124085,78.000000,0,train
AAPL,5,2017-07-13,14:35:00,2017-07-13T14:35:00+00:00,146.840000,146.900000,146.620000,146.800000,752,0.280000,-0.020432,146.814000,146.940000,146.396000,146.765727,0.117703,76.518219,0,train
AAPL,5,2017-07-13,14:40:00,2017-07-13T14:40:00+00:00,146.810000,146.880000,146.680000,146.760000,640,0.200000,-0.027248,146.796000,146.932000,146.455000,146.764686,0.102024,66.844920,1,train
AAPL,5,2017-07-13,14:45:00,2017-07-13T14:45:00+00:00,146.740000,146.990000,146.740000,146.980000,673,0.250000,0.149905,146.812000,146.929000,146.523500,146.803834,0.106979,67.195767,1,train
AAPL,5,2017-07-13,14:50:00,2017-07-13T14:50:00+00:00,146.950000,147.120000,146.930000,147.050000,645,0.190000,0.047626,146.884000,146.918000,146.601500,146.848592,0.102386,68.041237,1,train
