ticker,interval_minutes,date,time,timestamp_utc,open,high,low,close,volume,price_range,return_pct,sma_5,sma_10,sma_20,ema_10,volatility_10,rsi_14,target_up_next_bar,split
AMZN,30,2017-05-12,18:00:00,2017-05-12T18:00:00+00:00,960.010000,961.240000,960.000000,960.660000,978,1.240000,,,,,960.660000,,,1,train
AMZN,30,2017-05-12,18:30:00,2017-05-12T18:30:00+00:00,960.650000,962.140000,960.470000,961.890000,1017,1.670000,0.128037,,,,960.883636,,,0,train
AMZN,30,2017-05-12,19:00:00,2017-05-12T19:00:00+00:00,961.910000,962.760000,960.630000,961.740000,1384,2.130000,-0.015594,,,,961.039339,0.101563,,0,train
AMZN,30,2017-05-12,19:30:00,2017-05-12T19:30:00+00:00,961.770000,962.270000,961.130000,961.340000,2110,1.140000,-0.041591,,,,961.094005,0.091360,,0,train
AMZN,30,2017-05-15,12:30:00,2017-05-15T12:30:00+00:00,962.390000,962.500000,959.970000,960.200000,121,2.530000,-0.118584,961.166000,,,960.931458,0.103052,,0,train
AMZN,30,2017-05-15,13:00:00,2017-05-15T13:00:00+00:00,960.100000,960.700000,958.090000,958.680000,372,2.610000,-0.158300,960.770000,,,960.522102,0.110677,,1,train
AMZN,30,2017-05-15,13:30:00,2017-05-15T13:30:00+00:00,958.660000,963.000000,957.000000,959.970000,2512,6.000000,0.134560,960.386000,,,960.421720,0.122264,,0,train
AMZN,30,2017-05-15,14:00:00,2017-05-15T14:00:00+00:00,959.980000,960.640000,956.050000,957.540000,1887,4.590000,-0.253133,959.546000,,,959.897771,0.144117,,1,train
AMZN,30,2017-05-15,14:30:00,2017-05-15T14:30:00+00:00,957.560000,961.010000,957.090000,960.160000,1727,3.920000,0.273618,959.310000,,,959.945449,0.174934,,0,train
AMZN,30,2017-05-15,15:00:00,2017-05-15T15:00:00+00:00,960.150000,961.050000,958.470000,959.440000,1424,2.580000,-0.074988,959.158000,960.162000,,959.853549,0.165226,,0,train
