dataset,model,roc_auc,f1,precision,recall,accuracy
ALL_COMBINED,XGBoost,0.5170826227150392,0.5219338497118314,0.5024383348646547,0.5430033608310418,0.5113504183707929
ALL_COMBINED,LogisticRegression,0.50962526268569,0.5071802796728355,0.500632487536275,0.513901619309502,0.5093992720723425
ALL_COMBINED,LinearSVM,0.5095755822169001,0.5074660633484163,0.5011170688114388,0.5139780018331805,0.509887058646955
BREAKOUTS_ONLY,LogisticRegression,0.527288366520936,0.5520169851380042,0.5131578947368421,0.5972434915773354,0.5283159463487332
BREAKOUTS_ONLY,LinearSVM,0.5270549901426262,0.5520169851380042,0.5131578947368421,0.5972434915773354,0.5283159463487332
BREAKOUTS_ONLY,XGBoost,0.5196602928984679,0.5234996384671005,0.4958904109589041,0.554364471669219,0.5089418777943369
