feature,importance
volume,0.010899926159302138
return_pct,-0.020956189843129268
volatility_10,-0.012302075183590304
rsi_14,-0.015661229198577774
dist_to_sma_5,-0.03959405193462943
dist_to_sma_10,0.01161286177102482
dist_to_sma_20,0.024809184103295762
dist_to_ema_10,-0.01018743276653739
high_low_spread_pct,0.02475514147545116
article_count,-0.00424779210506946
weighted_article_count,-0.022067893543270444
avg_word_count,-0.000472751642008825
unique_sites,0.03148227199188069
news_volatility_interaction,0.0010249590762978298
news_momentum,0.009584544455221647
ticker_AAPL,-0.025042087542085947
ticker_AMZN,0.004931636509463971
