feature,importance
volume,0.062330235
return_pct,0.06996109
volatility_10,0.06724574
rsi_14,0.060974967
dist_to_sma_5,0.060749717
dist_to_sma_10,0.064434364
dist_to_sma_20,0.059373133
dist_to_ema_10,0.0697209
high_low_spread_pct,0.06441175
article_count,0.05206452
weighted_article_count,0.07183662
avg_word_count,0.057041556
unique_sites,0.062225472
news_volatility_interaction,0.055812627
news_momentum,0.062042363
ticker_AAPL,0.05977488
ticker_AMZN,0.0
