feature,importance
volume,-0.0023391147030213753
return_pct,-0.04442817734258936
volatility_10,-0.011510864144951593
rsi_14,-0.017139705524384177
dist_to_sma_5,-0.0339114947795197
dist_to_sma_10,0.0020721069212515813
dist_to_sma_20,0.05273538338294103
dist_to_ema_10,-0.025937040741289424
high_low_spread_pct,0.04007201970351173
article_count,-0.0015100872985585006
weighted_article_count,-0.03672963983598241
avg_word_count,-0.005391619506094477
unique_sites,0.03842523035862241
news_volatility_interaction,0.002289976285925793
news_momentum,0.017372160480764804
ticker_AAPL,-0.0023171595364084264
ticker_AMZN,0.061730445215901535
interval_minutes_5,-0.04946863136687934
interval_minutes_15,-0.03320905304221776
interval_minutes_30,0.004660179569857845
interval_minutes_60,0.027392926611763558
interval_minutes_240,0.0
interval_minutes_1440,0.08220699053360049
