feature,importance
volume,0.021480314412141828
return_pct,-0.04397319555157362
volatility_10,-0.024879999534674038
rsi_14,-0.03056534777511315
dist_to_sma_5,-0.08442794251994891
dist_to_sma_10,0.014804975332936511
dist_to_sma_20,0.04083155962149954
dist_to_ema_10,0.0
high_low_spread_pct,0.0508521900949437
article_count,-0.007936395724819096
weighted_article_count,-0.0439162254335813
avg_word_count,-0.0008677464339383545
unique_sites,0.06238051178869474
news_volatility_interaction,0.001996645017726032
news_momentum,0.01942181121708478
ticker_AAPL,-0.049977603804949935
ticker_AMZN,0.009976242531801797
