feature,importance
volume,-0.0010418387229426172
return_pct,-0.021179925230536717
volatility_10,-0.005801830819589118
rsi_14,-0.008731721617983527
dist_to_sma_5,-0.013085311863783556
dist_to_sma_10,0.008441741002410394
dist_to_sma_20,0.03354750130838407
dist_to_ema_10,-0.030560904350611557
high_low_spread_pct,0.019630440450899973
article_count,-0.0009277483033879397
weighted_article_count,-0.018540957579253427
avg_word_count,-0.002717231576991664
unique_sites,0.01952510028698918
news_volatility_interaction,0.001207315971944319
news_momentum,0.008601812833010473
ticker_AAPL,-0.0015846080218254836
ticker_AMZN,0.030442375091501838
interval_minutes_5,-0.02435793856140819
interval_minutes_15,-0.016271915907183257
interval_minutes_30,0.002798528145887684
interval_minutes_60,0.014201414221906454
interval_minutes_240,0.0
interval_minutes_1440,0.04218135414118384
