ticker,interval_minutes,date,time,timestamp_utc,open,high,low,close,volume,price_range,return_pct,sma_5,sma_10,sma_20,ema_10,volatility_10,rsi_14,target_up_next_bar,split
AAPL,30,2016-08-23,18:30:00,2016-08-23T18:30:00+00:00,108.829000,108.879000,108.709000,108.789000,2840,0.170000,,,,,108.789000,,,0,train
AAPL,30,2016-08-23,19:00:00,2016-08-23T19:00:00+00:00,108.789000,108.819000,108.709000,108.769000,2671,0.110000,-0.018384,,,,108.785364,,,0,train
AAPL,30,2016-08-23,19:30:00,2016-08-23T19:30:00+00:00,108.789000,108.789000,108.629000,108.659000,3402,0.160000,-0.101132,,,,108.762388,0.058511,,0,train
AAPL,30,2016-08-23,20:00:00,2016-08-23T20:00:00+00:00,108.669000,108.669000,108.539000,108.649000,52,0.130000,-0.009203,,,,108.741772,0.050633,,1,train
AAPL,30,2016-08-23,20:30:00,2016-08-23T20:30:00+00:00,108.639000,108.669000,108.619000,108.669000,14,0.050000,0.018408,108.707000,,,108.728541,0.051469,,1,train
AAPL,30,2016-08-24,12:30:00,2016-08-24T12:30:00+00:00,108.739000,108.809000,108.679000,108.709000,45,0.130000,0.036809,108.691000,,,108.724988,0.053065,,0,train
AAPL,30,2016-08-24,13:00:00,2016-08-24T13:00:00+00:00,108.699000,108.729000,108.409000,108.409000,176,0.320000,-0.275966,108.619000,,,108.667536,0.116745,,0,train
AAPL,30,2016-08-24,13:30:00,2016-08-24T13:30:00+00:00,108.379000,108.509000,107.939000,108.109000,3551,0.570000,-0.276730,108.509000,,,108.565984,0.134823,,1,train
AAPL,30,2016-08-24,14:00:00,2016-08-24T14:00:00+00:00,108.089000,108.229000,107.979000,108.199000,3600,0.250000,0.083249,108.419000,,,108.499259,0.138956,,0,train
AAPL,30,2016-08-24,14:30:00,2016-08-24T14:30:00+00:00,108.189000,108.189000,107.819000,107.979000,3496,0.370000,-0.203329,108.281000,108.494000,,108.404667,0.137601,,0,train
AAPL,30,2016-08-24,15:00:00,2016-08-24T15:00:00+00:00,107.979000,108.099000,107.749000,107.879000,3347,0.350000,-0.092611,108.115000,108.403000,,108.309091,0.129768,,0,train
AAPL,30,2016-08-24,15:30:00,2016-08-24T15:30:00+00:00,107.879000,107.969000,107.749000,107.869000,3316,0.220000,-0.009270,108.007000,108.313000,,108.229074,0.130310,,1,train
AAPL,30,2016-08-24,16:00:00,2016-08-24T16:00:00+00:00,107.849000,107.979000,107.759000,107.939000,2872,0.220000,0.064894,107.973000,108.241000,,108.176334,0.138084,,1,train
AAPL,30,2016-08-24,16:30:00,2016-08-24T16:30:00+00:00,107.939000,108.139000,107.909000,108.129000,2593,0.230000,0.176025,107.959000,108.189000,,108.167728,0.157644,,0,train
AAPL,30,2016-08-24,17:00:00,2016-08-24T17:00:00+00:00,108.129000,108.249000,108.039000,108.069000,2836,0.210000,-0.055489,107.977000,108.129000,,108.149777,0.155915,26.623377,1,train
AAPL,30,2016-08-24,17:30:00,2016-08-24T17:30:00+00:00,108.089000,108.159000,108.029000,108.099000,2721,0.130000,0.027760,108.021000,108.068000,,108.140545,0.155347,28.387097,0,train
AAPL,30,2016-08-24,18:00:00,2016-08-24T18:00:00+00:00,108.129000,108.129000,107.809000,107.939000,3503,0.320000,-0.148012,108.035000,108.021000,,108.103900,0.139712,27.500000,1,train
