feature,importance
volume,-0.027174666542673136
return_pct,-0.034685321377726154
volatility_10,0.012550462235928843
rsi_14,0.0027567775538797877
dist_to_sma_5,-0.004088613889633657
dist_to_sma_10,0.09298974089895494
dist_to_sma_20,0.0901529249704338
dist_to_ema_10,-0.15914575711114765
high_low_spread_pct,0.0450026165163092
article_count,0.04836913670256903
weighted_article_count,-0.04408109157693506
avg_word_count,-0.03645123783634539
unique_sites,-0.03909184811405818
news_volatility_interaction,0.005529630425334129
news_momentum,0.034734833760166325
ticker_AAPL,0.0
ticker_AMZN,0.06297129449316198
