feature,importance
volume,0.0220931945377615
return_pct,-0.05045612706476772
volatility_10,-0.007668764389678086
rsi_14,-0.019716549120952175
dist_to_sma_5,0.11295222997167514
dist_to_sma_10,0.0
dist_to_sma_20,0.16278469362055287
dist_to_ema_10,-0.2175664983632204
high_low_spread_pct,-0.005091698203942896
article_count,-0.12941964321060012
weighted_article_count,-0.07967678214885504
avg_word_count,0.016678386419698522
unique_sites,0.19937327484937106
news_volatility_interaction,-0.005357374539036833
news_momentum,0.025370383319947693
ticker_AAPL,0.0
ticker_AMZN,0.04421826867950276
