feature,importance
volume,0.04093204783455352
return_pct,-0.10647015549405082
volatility_10,-0.0066836937497643705
rsi_14,-0.008988050796081221
dist_to_sma_5,0.09070588781230286
dist_to_sma_10,-0.11524219083706473
dist_to_sma_20,0.08596895300633274
dist_to_ema_10,0.0
high_low_spread_pct,-0.009763054615020564
article_count,-0.21658403511827864
weighted_article_count,-0.1573649945887963
avg_word_count,0.03676265795556365
unique_sites,0.35203281602705316
news_volatility_interaction,-0.010332305013922245
news_momentum,0.052318657755579576
ticker_AAPL,0.0
ticker_AMZN,0.08569456448631162
