feature,importance
volume,-0.011788091989641055
return_pct,-0.04377179815172552
volatility_10,-0.00908498698177303
rsi_14,-0.01366934199843061
dist_to_sma_5,0.031687016547836545
dist_to_sma_10,-0.06865630659856486
dist_to_sma_20,0.06153881816616525
dist_to_ema_10,0.00012541445559725072
high_low_spread_pct,0.029286903868395178
article_count,-0.0013650376051767994
weighted_article_count,-0.0008679093665712899
avg_word_count,-0.0009560079950780742
unique_sites,-0.010048650220113415
news_volatility_interaction,0.0037789981656921327
news_momentum,-0.0020802443595421684
ticker_AAPL,-0.01448808757243898
ticker_AMZN,0.008864852809989663
