feature,importance
volume,-0.02368124279595532
return_pct,-0.08760311924822986
volatility_10,-0.01800151535996204
rsi_14,-0.026220947921351895
dist_to_sma_5,0.061049146906755315
dist_to_sma_10,-0.13390861931348838
dist_to_sma_20,0.12065119836752988
dist_to_ema_10,0.0
high_low_spread_pct,0.059262703704589026
article_count,-0.0033919013308947614
weighted_article_count,-0.00019678069306225537
avg_word_count,-0.001846571167897591
unique_sites,-0.020576739282540005
news_volatility_interaction,0.006671702799425372
news_momentum,-0.004730651879414348
ticker_AAPL,-0.028748477293420137
ticker_AMZN,0.017482870904775308
